date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,year,month,normalized_open,normalized_close,volume_bin
2014-06-19,84.9117,84.9209,84.0366,84.5161,35527686,35527686,-0.294416,-0.347,84.4865,"Jun 19, 14",0.2251888533402142,2014,6,0.10550583163591866,0.10208475532677717,1.0
2014-06-20,84.5069,85.1509,83.6328,83.642,100898066,100898066,-0.87405,-1.034,84.248,"Jun 20, 14",0.2125174501791043,2014,6,0.10299276811339579,0.09670007170543114,5.0
2014-06-23,84.0192,84.2953,83.3568,83.5684,43694391,43694391,-0.073605,-0.088,83.6638,"Jun 23, 14",0.2114505067256577,2014,6,0.09996504805426924,0.09624667653951069,1.0
2014-06-24,83.4948,84.4057,82.9796,83.0624,39036087,39036087,-0.506032,-0.606,83.8101,"Jun 24, 14",0.2041152704832122,2014,6,0.09670948849100094,0.09312958477380757,1.0
2014-06-25,82.998,83.4488,82.4828,83.136,36868541,36868541,0.073605,0.089,83.0709,"Jun 25, 14",0.2051822139366588,2014,6,0.09362527416790471,0.09358297993972801,1.0
2014-06-26,83.1452,83.7708,82.6208,83.6328,32629359,32629359,0.496831,0.598,83.0932,"Jun 26, 14",0.2123840822474236,2014,6,0.09453911544882211,0.09664339730969113,1.0
2014-06-27,83.5592,84.6449,83.5132,84.6265,64028803,64028803,0.993655,1.188,91.7786,"Jun 27, 14",0.2267892685203841,2014,6,0.09710929405140235,0.10276484807565785,2.0
2014-06-30,84.7369,86.232,84.7277,85.5005,49589028,49589028,0.874051,1.033,85.6147,"Jun 30, 14",0.2394592220300628,2014,6,0.10442064511482928,0.10814891567096328,2.0
2014-07-01,86.0434,86.5494,85.6845,86.0434,38223477,38223477,0.542833,0.635,86.6398,"Jul 1, 14",0.247329379650663,2014,7,0.11253160729905894,0.11149332104566731,1.0
2014-07-02,86.3608,86.5402,85.6477,86.0066,28465073,28465073,-0.036805,-0.043,86.1203,"Jul 2, 14",0.2467959079239397,2014,7,0.11450207756103707,0.11126662346270708,0.0
2014-07-03,86.1814,86.577,85.7489,86.5126,22891753,22891753,0.506031,0.588,86.2138,"Jul 3, 14",0.2541311441663852,2014,7,0.11338833349991896,0.1143837152284102,0.0
2014-07-07,86.6138,88.3159,86.577,88.2957,56467939,56467939,1.7831,2.061,87.6846,"Jul 7, 14",0.2799798788381332,2014,7,0.11607274226261388,0.12536807555929005,2.0
2014-07-08,88.5735,89.0611,86.4114,87.7271,65221678,65221678,-0.568592,-0.644,88.6399,"Jul 8, 14",0.2717371607996856,2014,7,0.12823887513091456,0.12186535149213826,3.0
2014-07-09,87.8099,88.2791,87.1842,87.7639,36436440,36436440,0.036802,0.042,87.8537,"Jul 9, 14",0.2722706325264091,2014,7,0.12349832348615548,0.12209204907509857,1.0
2014-07-10,86.2642,87.9111,86.0434,87.4372,39685552,39685552,-0.326622,-0.372,87.1252,"Jul 10, 14",0.2675346213003083,2014,7,0.11390236922043505,0.12007949200028589,1.0
2014-07-11,87.7363,88.2239,87.2785,87.6075,34018228,34018228,0.170214,0.195,87.6658,"Jul 11, 14",0.2700033776878349,2014,7,0.12304140284569678,0.12112858434751758,1.0
2014-07-14,88.1963,89.1439,88.0031,88.7391,42810155,42810155,1.1317,1.292,88.7774,"Jul 14, 14",0.2864076332845766,2014,7,0.12589715684856367,0.12809953502354451,1.0
2014-07-15,89.0611,89.1071,87.4326,87.6995,45696176,45696176,-1.0397,-1.172,88.1008,"Jul 15, 14",0.2713370570046431,2014,7,0.13126597437395351,0.12169532830491814,1.0
2014-07-16,89.2175,89.3372,87.1658,87.2026,53502415,53502415,-0.496829,-0.567,88.4357,"Jul 16, 14",0.2641337390424472,2014,7,0.13223693073492832,0.11863429490891444,2.0
2014-07-17,87.4326,87.6617,85.1693,85.6476,57298243,57298243,-1.555,-1.783,86.2928,"Jul 17, 14",0.2415916592855247,2014,7,0.12115598438771699,0.10905508997676351,2.0
